file,path,characters,words_approx,tokens,exceeds_2048,exceeds_safe_limit
page_0093.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0093.md,792,122,216,False,False
page_0094.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0094.md,1633,254,464,False,False
page_0095.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0095.md,3311,500,873,False,False
page_0096.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0096.md,1605,251,450,False,False
page_0097.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0097.md,588,89,138,False,False
page_0098.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0098.md,3717,504,1065,False,False
page_0099.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0099.md,2844,444,716,False,False
page_0100.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0100.md,3616,531,984,False,False
page_0101.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0101.md,3239,478,821,False,False
page_0102.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0102.md,2803,417,723,False,False
page_0103.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0103.md,3212,457,866,False,False
page_0104.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0104.md,3111,440,869,False,False
page_0105.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0105.md,2440,377,622,False,False
page_0106.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0106.md,3843,565,995,False,False
page_0107.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0107.md,3538,504,948,False,False
page_0108.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0108.md,1119,155,345,False,False
page_0109.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0109.md,1328,199,350,False,False
page_0110.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0110.md,2303,368,647,False,False
page_0111.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0111.md,2996,425,834,False,False
page_0112.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0112.md,3124,459,809,False,False
page_0113.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0113.md,3114,438,845,False,False
page_0114.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0114.md,3466,499,926,False,False
page_0115.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0115.md,3387,500,868,False,False
page_0116.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0116.md,3567,522,858,False,False
page_0117.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0117.md,4225,608,1100,False,False
page_0118.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0118.md,3145,433,913,False,False
page_0119.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0119.md,1634,224,436,False,False
page_0120.md,E:\Project RAG-SN-IN\data\processed\text\drr-2025\page_0120.md,274,39,70,False,False
